name,slug,description,category,industry,experience_level,metadata_json
Philosophy Consultant,philosophy-consultant,"Helps organizations and individuals think through ethical dilemmas and big-picture questions. Facilitates structured discussions, applies philosophical frameworks to real decisions, and helps clarify values-based trade-offs. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Consulting,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Ethical & Philosophical Reasoning"", ""Facilitation"", ""Conflict Resolution"", ""Curriculum Design""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Actuary,actuary,"Uses math and statistics to predict risk for insurance companies and financial firms. Builds models to estimate probabilities of future events, and translates results into pricing and policy recommendations. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Finance,Finance,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [""Excel""], ""common_technologies"": [""Excel""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Science Communicator,science-communicator,"Explains complex science to the public through writing, videos, or public talks. Translates technical research into accessible, accurate content while maintaining scientific rigor for varied audiences. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Research,Media,Entry,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [""Video Editing"", ""Social Media Management""], ""common_domains"": [""Subject Matter Expertise""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Archaeologist,archaeologist,"Digs, studies, and preserves ancient objects and sites to understand past civilizations. Conducts fieldwork excavations, documents findings meticulously, and applies conservation techniques to protect artifacts. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Research,Research,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [""GIS Mapping""], ""common_domains"": [""Archaeological Excavation Techniques"", ""Artifact Analysis & Preservation"", ""Local History & Culture Knowledge""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Operations Researcher,operations-researcher,"Uses mathematical models to help organizations make better decisions about logistics and resources. Builds optimization models for scheduling, supply chains, or resource allocation and translates results into actionable recommendations. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Data,Consulting,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [""Excel""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
UX Researcher,ux-researcher,"Studies how people use products through interviews, surveys, and usability tests. Designs research studies, synthesizes findings into actionable insights, and works with designers to improve product experience. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Technology,Entry,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""User Interviews"", ""Usability Testing""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Voice-Over Artist,voice-over-artist,"Records narration for ads, audiobooks, animations, and YouTube videos. Interprets scripts to match tone and pacing, uses a home studio setup, and delivers clean, directed takes on schedule. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [""Home Studio Recording""], ""common_technologies"": [], ""common_domains"": [""Voice Modulation"", ""Script Reading & Interpretation"", ""Audio Recording & Mixing"", ""Character Voicing""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Stand-Up Comedian,stand-up-comedian,"Writes and performs comedy sets at open mic nights and events. Develops original material, tests jokes with live audiences, and refines timing and delivery based on audience reaction. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [], ""common_technologies"": [""Social Media Management""], ""common_domains"": [""Stage Presence"", ""Improvisation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Dance Choreographer,dance-choreographer,"Creates dance routines for films, music videos, stage shows, and social media. Translates music and mood into movement sequences, and teaches routines to performers or students of varying skill levels. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [], ""common_technologies"": [""Social Media Management""], ""common_domains"": [""Dance Technique"", ""Music Curation"", ""Group Leadership (Outdoor)""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Theatre Actor,theatre-actor,"Performs in plays, musicals, and stage shows in front of live audiences. Interprets scripts and direction, memorizes lines, and embodies characters through voice, movement, and emotional expression. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Acting Technique"", ""Script Reading & Interpretation"", ""Memorization"", ""Stage Presence"", ""Voice Modulation"", ""Improvisation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Music Producer,music-producer,"Creates beats, composes music, and produces tracks for artists or content creators. Arranges instrumentation, records and mixes audio, and guides the overall sound and direction of a project. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [""Digital Audio Workstation (DAW)""], ""common_technologies"": [""Digital Audio Workstation (DAW)""], ""common_domains"": [""Music Production"", ""Music Theory"", ""Audio Recording & Mixing"", ""Sound Design""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Rapper / Lyricist,rapper-lyricist,"Writes and performs rap verses or song lyrics that tell stories and express ideas. Develops a distinct voice and flow, collaborates with producers, and performs live or records tracks for release. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [], ""common_technologies"": [""Social Media Management""], ""common_domains"": [""Stage Presence"", ""Music Theory""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
DJ,dj,"Mixes and plays music at clubs, weddings, festivals, and private events. Reads crowd energy to select and sequence tracks, beatmatches transitions, and maintains equipment for live performance. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [""DJ Mixing""], ""common_technologies"": [], ""common_domains"": [""Music Curation"", ""Sound Design""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Magician / Illusionist,magician-illusionist,"Performs magic tricks and illusions at events, parties, and stage shows. Designs and rehearses routines, manages misdirection and audience attention, and builds a distinctive stage persona. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Sleight of Hand"", ""Stage Presence"", ""Improvisation"", ""Event Hosting""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Puppeteer,puppeteer,"Tells stories through puppets for children's shows, educational content, and performances. Builds or operates puppets, voices distinct characters, and coordinates timing between movement and dialogue. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Puppet Construction & Manipulation"", ""Character Voicing"", ""Stage Presence"", ""Improvisation"", ""Curriculum Design""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
YouTube Creator,youtube-creator,"Builds an audience by creating consistent, valuable video content on YouTube. Plans and scripts videos, films and edits content, and analyzes channel analytics to refine format and topics over time. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [""Video Editing""], ""common_technologies"": [""Video Editing""], ""common_domains"": [""On-Camera Presence""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
RJ / Radio Host,rj-radio-host,"Hosts radio shows or podcasts with engaging conversations, stories, and music. Prepares segments and talking points, operates broadcast equipment, and keeps listeners engaged in real time. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [], ""common_technologies"": [""Social Media Management""], ""common_domains"": [""Radio Broadcasting Techniques"", ""Voice Modulation"", ""Improvisation"", ""Music Curation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Emcee / Event Host,emcee-event-host,"Hosts events, weddings, and corporate functions, keeping the audience engaged and the program on schedule. Coordinates with organizers, adapts tone to the occasion, and manages live audience energy. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Performers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Event Hosting"", ""Improvisation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Art Therapist,art-therapist,Uses creative activities to help people deal with emotional trauma and mental health issues. Designs art-based exercises tailored to client needs and interprets creative output as part of a therapeutic process. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.,Healthcare,Healthcare,Mid,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Art Therapy Techniques"", ""Trauma-Informed Care"", ""Psychological First Aid"", ""Ethical & Philosophical Reasoning""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Music Therapist,music-therapist,"Uses music to help people manage stress and improve mental and physical well-being. Designs sessions using instruments, singing, or listening exercises tailored to each client's therapeutic goals. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Healthcare,Healthcare,Mid,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Music Therapy Techniques"", ""Music Theory"", ""Trauma-Informed Care"", ""Instrument Making & Repair"", ""Psychological First Aid""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Grief Counsellor,grief-counsellor,"Helps people process the death of a loved one through conversation and healing techniques. Provides a safe, structured space for mourning, and recognizes when to refer clients to further professional care. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Healthcare,Healthcare,Mid,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Grief Counselling Techniques"", ""Trauma-Informed Care"", ""Psychological First Aid"", ""Facilitation"", ""Ethical & Philosophical Reasoning""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Nutritionist / Dietitian,nutritionist-dietitian,"Creates personalized food plans to help people meet health goals based on their body and lifestyle. Assesses dietary needs, monitors progress, and adjusts plans using evidence-based nutrition science. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Healthcare,Healthcare,Entry,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [""Excel""], ""common_domains"": [""Diet Planning""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Yoga Instructor,yoga-instructor,"Teaches yoga postures, breathing, and meditation to improve physical and mental health. Adapts sequences to different skill levels, corrects form to prevent injury, and creates a calm, focused class environment. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Healthcare,Healthcare,Entry,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Yoga Instruction"", ""Breathing & Meditation Techniques"", ""Group Leadership (Outdoor)"", ""Curriculum Design""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Physiotherapist,physiotherapist,"Helps people recover from injuries and manage physical pain through exercises and manual therapy. Assesses movement and mobility issues, designs recovery plans, and tracks patient progress over multiple sessions. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Healthcare,Healthcare,Mid,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Physical Rehabilitation Techniques"", ""Manual Therapy"", ""Assistive Device Knowledge"", ""Facilitation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Occupational Therapist,occupational-therapist,"Helps people with disabilities or injuries perform daily tasks and regain independence. Assesses functional limitations, adapts tasks and environments, and teaches strategies or assistive-device use. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Healthcare,Healthcare,Mid,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Occupational Therapy Techniques"", ""Assistive Device Knowledge"", ""Trauma-Informed Care"", ""Facilitation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Animal Therapist / Vet Assistant,animal-therapist-vet-assistant,"Helps injured or sick animals recover and supports veterinarians in clinics and shelters. Handles and restrains animals safely, assists with basic procedures, and monitors recovery and behavior. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Healthcare,Healthcare,Entry,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Animal Handling"", ""Veterinary Support Procedures""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Midwife / Birth Companion,midwife-birth-companion,"Supports mothers during pregnancy, labor, and postpartum through guidance and hands-on care. Monitors maternal and fetal wellbeing, provides emotional support, and coordinates with medical staff when needed. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Healthcare,Healthcare,Mid,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Prenatal & Postpartum Care"", ""Labor Support Techniques"", ""Psychological First Aid""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Speech Therapist,speech-therapist,"Helps children and adults overcome speech and language difficulties. Assesses communication challenges, designs individualized therapy plans, and tracks progress across sessions. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Healthcare,Healthcare,Mid,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Speech & Language Assessment"", ""Speech Therapy Techniques"", ""Curriculum Design"", ""Facilitation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Mental Health First Aider,mental-health-first-aider,"Provides initial support to people in emotional distress before professional help arrives. Recognizes warning signs of crisis, offers calm, non-judgmental support, and connects individuals to appropriate resources. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Healthcare,Healthcare,Entry,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Mental Health First Aid Techniques"", ""Psychological First Aid"", ""Trauma-Informed Care"", ""Conflict Resolution"", ""Facilitation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Elder Care Specialist,elder-care-specialist,"Provides companionship, medical support, and daily care to senior citizens. Assists with mobility, medication routines, and daily tasks while monitoring health and emotional wellbeing. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Healthcare,Healthcare,Entry,"{""cluster"": ""Healers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Elder Care Practices"", ""Medication & Care Routine Management"", ""Assistive Device Knowledge""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Cloud Kitchen Owner,cloud-kitchen-owner,"Runs a food delivery business from a home or commercial kitchen without a dine-in restaurant. Manages menu design, kitchen operations, and delivery-platform listings to grow order volume and margins. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Food & Beverage,Entry,"{""cluster"": ""Builders"", ""common_tools"": [""Food Delivery Platform Management""], ""common_technologies"": [""Food Delivery Platform Management""], ""common_domains"": [""Menu Development""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Print-on-Demand Seller,print-on-demand-seller,"Sells custom t-shirts, mugs, and posters without holding inventory, using print-on-demand platforms. Designs merchandise, sets up product listings, and manages marketing to drive online sales. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,E-commerce,Entry,"{""cluster"": ""Builders"", ""common_tools"": [""Print-on-Demand Platforms"", ""E-commerce Platform Management""], ""common_technologies"": [""Print-on-Demand Platforms"", ""E-commerce Platform Management"", ""Social Media Management""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Dropshipper,dropshipper,"Sells products online without holding stock, relying on suppliers to ship directly to customers. Sets up storefronts, sources trending products, and runs digital ads to drive traffic and sales. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,E-commerce,Entry,"{""cluster"": ""Builders"", ""common_tools"": [""E-commerce Platform Management""], ""common_technologies"": [""E-commerce Platform Management""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
App Developer (No-Code),app-developer-no-code,"Builds mobile and web apps without traditional coding, using platforms like Glide, Bubble, and Adalo. Defines app requirements, configures workflows and databases visually, and iterates based on user feedback. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Software Engineering,Technology,Entry,"{""cluster"": ""Builders"", ""common_tools"": [""No-Code App Development""], ""common_technologies"": [""No-Code App Development""], ""common_domains"": [""Product Requirements Definition""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Newsletter Creator,newsletter-creator,"Writes and sends regular email newsletters to a loyal subscriber base on a niche topic. Plans content, grows the subscriber list, and monetizes through sponsorships or paid subscriptions. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Media,Entry,"{""cluster"": ""Builders"", ""common_tools"": [""Newsletter Platforms""], ""common_technologies"": [""Newsletter Platforms"", ""Social Media Management""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Affiliate Marketer,affiliate-marketer,"Earns commissions by recommending products through blogs, videos, and social media. Selects relevant products, creates persuasive content, and tracks conversions to optimize which promotions perform best. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,E-commerce,Entry,"{""cluster"": ""Builders"", ""common_tools"": [], ""common_technologies"": [""Social Media Management""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Online Tutor,online-tutor,"Teaches academic subjects or skills one-on-one or to groups through video calls. Plans lessons around student needs, explains concepts clearly, and tracks progress across sessions. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Education,Entry,"{""cluster"": ""Builders"", ""common_tools"": [""Online Teaching Platforms""], ""common_technologies"": [""Online Teaching Platforms""], ""common_domains"": [""Subject Matter Expertise"", ""Lesson Planning"", ""Curriculum Design""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Franchise Owner,franchise-owner,"Buys and runs a branch of an established brand such as food, salon, or education. Manages daily operations within franchisor standards, oversees staff, and controls costs to hit performance targets. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Other,Mid,"{""cluster"": ""Builders"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Reseller (Thrift / Vintage),reseller-thrift-vintage,"Buys underpriced items such as clothes, electronics, or furniture and resells them for profit. Sources inventory from thrift stores or auctions, evaluates condition and value, and lists items on online marketplaces. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,E-commerce,Entry,"{""cluster"": ""Builders"", ""common_tools"": [""Online Marketplace Selling""], ""common_technologies"": [""Online Marketplace Selling""], ""common_domains"": [""Thrift Sourcing & Valuation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
SaaS Builder,saas-builder,"Builds and sells software-as-a-service products that solve specific business problems. Defines product scope, oversees or performs development, and tracks growth and retention metrics after launch. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Software Engineering,Technology,Mid,"{""cluster"": ""Builders"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Product Requirements Definition""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Coworking Space Owner,coworking-space-owner,"Creates and manages shared workspaces for freelancers, startups, and remote workers. Oversees facility operations, membership sales, and community programming to keep occupancy and satisfaction high. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Real Estate,Mid,"{""cluster"": ""Builders"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Micro-Influencer,micro-influencer,"Builds a loyal niche following on social media and partners with brands for sponsored promotions. Creates consistent content around a personal brand and negotiates paid collaborations with businesses. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Builders"", ""common_tools"": [""Social Media Management""], ""common_technologies"": [""Social Media Management"", ""Photo Editing""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Import/Export Trader,import-export-trader,"Buys products from one country and sells them in another, handling logistics and customs. Sources suppliers, negotiates pricing, and manages documentation and shipping to keep goods compliant and on schedule. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Manufacturing,Mid,"{""cluster"": ""Builders"", ""common_tools"": [], ""common_technologies"": [""Excel""], ""common_domains"": [""Import/Export Compliance""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Social Enterprise Founder,social-enterprise-founder,"Starts a business that solves a social problem while generating sustainable revenue. Designs a business model balancing impact and profitability, raises funding, and measures both financial and social outcomes. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Non-Profit,Mid,"{""cluster"": ""Builders"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
